contrato_numero,contrato_numero_gedo,procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,contrato_perfeccionamiento_fecha,contratista_cuit,contratista_razon_social,contratista_ute_si_no,contrato_monto,contrato_moneda,funcionario_contratante_nombre,funcionario_contratante_cargo
451-1023-CON18,,451-0004-LPU18,METROBÚS CIUDAD DE NEUQUÉN,451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-28913593-   -APN-DNC#MTR,,,2018-08-15T00:00:00,30-54106815-1,BRICONS S.A.,NO,166459807.04,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
501-0467-CON20,,451-0004-LPU18,METROBÚS CIUDAD DE NEUQUÉN,501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-28913593-   -APN-DNC#MTR,,,2018-08-15T00:00:00,30-54106815-1,BRICONS S.A.I.C.F.I.,NO,166459807.04,ARS,,
451-1657-CON19,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-26T00:00:00,30-70910712-3,POSE SA,NO,715081062.63,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1659-CON19,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-25T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,826308211.36,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1658-CON19,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-25T00:00:00,30-60867483-3,MARCALBA S.A.,NO,737730576.46,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1661-CON19,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-28T00:00:00,30716483971,Teximco S.A. - Tecnovias S.R.L. UTE,SI,777028967.04,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
451-1660-CON19,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-28T00:00:00,33716488859,VIAL TEC S.A. - RICAVIAL S.A. UTE,SI,809998603.09,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
501-0509-CON20,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-26T00:00:00,30-70910712-3,POSE SA,NO,715081062.63,ARS,,
501-0511-CON20,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-25T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,826308211.36,ARS,,
501-0510-CON20,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-25T00:00:00,30-60867483-3,MARCALBA S.A.,NO,737730576.46,ARS,,
501-0513-CON20,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-28T00:00:00,30-71648397-1,Teximco S.A. - Tecnovias S.R.L. UTE,SI,777028967.04,ARS,,
501-0512-CON20,,451-0005-LPU19,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-12266895-   -APN-DCTYAOPT#MTR,,,2019-06-28T00:00:00,33-71648885-9,VIAL TEC S.A. - RICAVIAL S.A. UTE,SI,809998603.09,ARS,,
451-1598-CON18,,451-0011-LPU18,METROBUS QUILMES,451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-26260538-   -APN-DCTYAOPT#MTR,,,2018-10-23T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,299750000.58,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
501-0472-CON20,,451-0011-LPU18,METROBUS QUILMES,501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2018-26260538-   -APN-DCTYAOPT#MTR,,,2018-10-23T00:00:00,30-69639421-7,CONSTRUMEX S.A.,NO,299750000.58,ARS,,
451-1607-CON19,,451-0016-LPU18,METROBUS RUTA 8 - 2DA ETAPA,451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-18889524-   -APN-DNC#MTR,451-0001-OBR19,METROBUS RUTA 8 - 2DA ETAPA,2019-03-28T00:00:00,30-65083338-0,CONSTRUCCIONES INGEVIAL S.A.,NO,242534114.58,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
501-0473-CON20,,451-0016-LPU18,METROBUS RUTA 8 - 2DA ETAPA,501/00,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2019-18889524-   -APN-DNC#MTR,451-0001-OBR19,METROBUS RUTA 8 - 2DA ETAPA,2019-03-28T00:00:00,30-65083338-0,CONSTRUCCIONES INGEVIAL S.A.,NO,242534114.58,ARS,,
451-1000-CON18,,451-0022-LPU17,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Ciudad de Mar del Plata",451/000,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,EX-2017-30778800-   -APN-DCTYAOPT#MTR,,,2018-03-16T00:00:00,30-51650063-4,COARCO SA,NO,108866021.81,ARS,MARIA MANUELA LOPEZ MENENDEZ,Secretario
452-1036-CON17,,452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01312793-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-60745136-9,SIAT S.A.,NO,1643955.04,USD,CRISTIAN JAVIER MENDEZ,Director
452-1039-CON17,,452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01312793-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-60745136-9,SIAT S.A.,NO,8725841.05,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1035-CON17,,452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01312793-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-55081599-7,"SIDERCA S.A,I,C,",NO,6505522.12,USD,CRISTIAN JAVIER MENDEZ,Director
452-1038-CON17,,452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01312793-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-55081599-7,"SIDERCA S.A,I,C,",NO,4108986.98,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1037-CON17,,452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01312793-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-53058926-5,M. ROYO S.A.C.I.I.F. Y F.,NO,7267312.25,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1034-CON17,,452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01312793-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-53058926-5,M. ROYO S.A.C.I.I.F. Y F.,NO,11017155.08,USD,CRISTIAN JAVIER MENDEZ,Director
452-1033-CON17,,452-0003-LPU17,Adquisición de motocompresores,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-01523004-   -APN-DCC#MEM,,,2017-08-15T00:00:00,30-50159813-1,Industrias Juan F. Secco S.A,NO,8161307.11,USD,CRISTIAN JAVIER MENDEZ,Director
452-1054-CON17,,452-0004-LPU17,Contratación y ejecución del montaje de cañerías,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-07087792-   -APN-DCC#MEM,,,2017-11-02T00:00:00,30-61199512-8,CONSTRUCCIONES ELECTROMECANICAS DEL OESTE S.A.,NO,373373823.85,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1053-CON17,,452-0004-LPU17,Contratación y ejecución del montaje de cañerías,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-07087792-   -APN-DCC#MEM,,,2017-11-03T00:00:00,33-50624902-9,Victor M. Contreras y Cia S.A,NO,24674130.30,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1052-CON17,,452-0004-LPU17,Contratación y ejecución del montaje de cañerías,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-07087792-   -APN-DCC#MEM,,,2017-11-02T00:00:00,30-50453670-6,Contreras Hermanos S.A.I.C.I.F.A.G. y M.,NO,61312968.79,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1051-CON17,,452-0004-LPU17,Contratación y ejecución del montaje de cañerías,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-07087792-   -APN-DCC#MEM,,,2017-12-01T00:00:00,33715778179,TRANSPORTADORA DE GAS DEL SUR S.A.-SACDE SOCIEDAD ARGENTINA DE CONSTRUCCION Y DESARROLLO ESTRATEGICO S.A.-UNION TRANSITORIA,SI,946936952.92,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1000-CON18,,452-0007-LPU17,Inspección de Obra y Control de Calidad de Suministros.,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-17470333-   -APN-DCC#MEM,,,2018-03-27T00:00:00,33-65804377-9,Bureau Veritas Argentina S.A.,NO,9419076.30,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1002-CON18,,452-0008-LPU17,Contratación y Ejecución de Montaje de Plantas Compresoras,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-26970243-   -APN-DCC#MEM,,,2018-06-06T00:00:00,30-51684747-2,PEITEL S.A.,NO,4180321.60,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1003-CON18,,452-0008-LPU17,Contratación y Ejecución de Montaje de Plantas Compresoras,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-26970243-   -APN-DCC#MEM,,,2018-06-06T00:00:00,30-51684747-2,PEITEL S.A.,NO,16186553.80,ARS,CRISTIAN JAVIER MENDEZ,Director
452-1001-CON18,,452-0008-LPU17,Contratación y Ejecución de Montaje de Plantas Compresoras,452/000,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EX-2017-26970243-   -APN-DCC#MEM,,,2018-06-06T00:00:00,30-51684747-2,PEITEL S.A.,NO,18637915.00,ARS,CRISTIAN JAVIER MENDEZ,Director
46/10-0427-CON22,,46/10-0294-LPU21,REPARACIÓN DE MÉNSULAS DE HORMIGÓN DE TRAMOS ISOSTÁTICOS DEL PUENTE S/ RÍO CORRIENTES,46/10,46/10 - 10° Corrientes - DNV,604,604 - Dirección Nacional de Vialidad,EX-2022-99034053-   -APN-DCRR#DNV,46/10-0042-OBR22,REPARACIÓN DE MNSULAS DE HORMIGN DE TRAMOS ISOSTæTICOS DEL PUENTE S/ RO CORRIENTES,2022-09-30T00:00:00,30-57864279-6,FREYSSINET-TIERRA ARMADA SA,NO,3780358.88,ARS,DANIEL ANIBAL FLORES,Jefe de Departamento
46/1-0445-CON22,,46/1-0064-LPU22,"OBRA SISTEMA DE ILUMINACIÓN R.N. N°33 - KM 282,78 - ACC. TRES LOMAS Y 30 DE AGOSTO",46/01,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2022-98197187-   -APN-DBB#DNV,46/1-0040-OBR22,"OBRA ?SISTEMA DE ILUMINACIÓN R.N. No33 - KM 282,78 - ACC. TRES LOMAS Y 30 DE AGOSTO?",2022-09-19T00:00:00,30-65873371-7,PLANTEL S.A.,NO,28302399.45,ARS,CARLOS SANTIAGO GONZALEZ,Jefe de Departamento
46/1-1013-CON20,,46/1-0069-LPU19,"ALTEO Y RECONST. DE LA CALZADA RNNº 3-TRAMO CNEL. DORREGO-EMP. RNNº 249 KM 607,56-KM 608,63",46/01,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2020-30268394-   -APN-DBB#DNV,46/1-0001-OBR20,"ALTEO Y RECONST. DE LA CALZADA RNNo 3-TRAMO CNEL. DORREGO-EMP. RNNo 249 KM 607,56-KM 608,63",2020-05-18T00:00:00,30-61496965-9,Coince Bah­a S.A,NO,37772260.08,ARS,PATRICIO ANTONIO GARCIA,Gerente
46/11-1399-CON21,,46/11-0002-LPU21,RECTIFICACIÓN DE TRAZA DE LA RUTA NACIONAL N° 157,46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-87566180-   -APN-DCAT#DNV,46/11-0020-OBR21,VIALIDAD NACIONAL,2021-10-01T00:00:00,30-57501228-7,CONSTRUCCIONES IVICA Y ANTONIO DUMANDZIC S.A.,NO,70057953.07,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/11-1164-CON21,,46/11-0056-LPU20,"BACHEO DE CALZADA, SELLADO DE FISURAS Y MICROAGLOMERADO EN FRIO LAS CUEVAS - PIE DE MEDANO - RN40",46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-38829350-   -APN-DCAT#DNV,46/11-0003-OBR21,VIALIDAD NACIONAL,2021-05-04T00:00:00,30-62669582-1,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,NO,8331745.00,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/11-1165-CON21,,46/11-0057-LPU20,"BACHEO DE CALZADA, SELLADO DE FISURAS Y MICROAGLOMERADO EN FRIO PIE DE MEDANO - PALO SECO - RN40",46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-38829745-   -APN-DCAT#DNV,46/11-0004-OBR21,VIALIDAD NACIONAL,2021-05-04T00:00:00,30-62669582-1,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,NO,6592652.80,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/11-1377-CON21,,46/11-0060-LPU20,REHABILITACIÓN Y CONSTRUCCIÓN DE OBRAS DE ARTE Y REPARACIÓN DE ASENTAMIENTOS DE CALZADA Y BANQUINAS,46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-83387958-   -APN-DCAT#DNV,46/11-0018-OBR21,REHABILITACIÓN Y CONSTRUCCIÓN DE OBRAS DE ARTE Y REPARACIÓN DE ASENTAMIENTOS DE CALZADA Y BANQUINAS,2021-09-13T00:00:00,30-62051134-6,HORMICAT S.A.,NO,109330967.52,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/11-1378-CON21,,46/11-0081-LPU20,"RECUPERACIÓN DE COTA DE CAUCE EN ALCANTARILLAS SOBRE LOS RÍOS LA CIÉNAGA, EL ICHANGA Y DON MARIANO",46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-83388672-   -APN-DCAT#DNV,46/11-0017-OBR21,VIALIDAD,2021-09-07T00:00:00,30-71073960-5,Choel SRL,NO,72588982.99,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/11-1398-CON21,,46/11-0082-LPU20,RECONSTRUCCIÓN DE CALZADA Y DEFENSAS RUTA NACIONAL Nº 60 FIAMBALÁ  LAS ANGOSTURAS,46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-93472870-   -APN-DCAT#DNV,46/11-0021-OBR21,RECONSTRUCCIÓN DE CALZADA Y DEFENSAS RUTA NACIONAL No 60 FIAMBALæ ? LAS ANGOSTURAS,2021-10-13T00:00:00,30-57501228-7,CONSTRUCCIONES IVICA Y ANTONIO DUMANDZIC S.A.,NO,85807523.18,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/11-1408-CON21,,46/11-0120-LPU21,"BACHEO DE CALZADA, SELLADO DE FISURAS Y MICROAGLOMERADO EN FRIO RN 38 AV. CIRCUNVALACION",46/11,46/11 - 11° Catamarca - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-100065203-   -APN-DCAT#DNV,46/11-0022-OBR21,VIALIDAD,2021-10-20T00:00:00,30-62669582-1,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,NO,8352882.80,ARS,JOSE MARCELO PATRIA,Jefe de Departamento
46/12-0002-CON23,,46/12-0049-LPU22,"Mantenimiento y reparación de puentes - RN 231: KM 17,12 (s/Río Pireco), KM 21,26 (s/ Río Pereyra I)",46/12,46/12 - 12° Neuquen - DNV,604,604 - Dirección Nacional de Vialidad,EX-2023-14063543-   -APN-DNQ#DNV,46/12-0009-OBR23,"Mantenimiento y reparación de puentes - RN 231: KM 17,12 (s/R­o Pireco), KM 21,26 (s/ R­o Pereyra I)",2023-02-13T00:00:00,30-50352441-0,CODI S.A.,NO,11339996.44,ARS,MARIA CECILIA LIZZI,Jefe de compras
46/12-1301-CON20,,46/12-0074-LPU19,"Obra de conservación mejorativa Ejecución de bacheo y microaglomerado asfáltico en frío RN Nº 237""""""",46/12,46/12 - 12° Neuquen - DNV,604,604 - Dirección Nacional de Vialidad,EX-2020-60844071-   -APN-DNQ#DNV,46/12-0006-OBR20,"Obra de conservación mejorativa Ejecución de bacheo y microaglomerado asfÿltico en fr­o RN No 237""""""",2020-10-06T00:00:00,30-62669582-1,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,NO,40962332.11,ARS,MARIA CECILIA LIZZI,Jefe de compras
46/13-0380-CON22,,46/13-0014-LPU22,"OBRA DE CONSERVACIÓN MEJORATIVA RN N° 25 - PROVINCIA DEL CHUBUT KM. 143,57 - KM. 165,22.",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2022-65069157-   -APN-DCHU#DNV,46/13-0028-OBR22,"OBRA DE CONSERVACIÓN MEJORATIVA RN No 25 - PROVINCIA DEL CHUBUT KM. 143,57 - KM. 165,22.",2022-07-07T00:00:00,30-62669582-1,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,NO,13755521.70,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-1147-CON21,,46/13-0055-LPU20,OBRA DE CONSERVACIÓN MEJORATIVA RNN° 25 - TRAMO: TRELEW - EMP. RNN° 3 - LAS CHAPAS.,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-26831202-   -APN-DCHU#DNV,46/13-0001-OBR21,OBRA DE CONSERVACIÓN MEJORATIVA RNNo 25 - TRAMO: TRELEW - EMP. RNNo 3 - LAS CHAPAS.,2021-04-05T00:00:00,33-65179561-9,Villegas Construcciones SRL,NO,30452653.94,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-1156-CON21,,46/13-0087-LPU20,OBRA DE CONSERVACIÓN MEJORATIVA RNN° 40 - PROVINCIA DE CHUBUT - TRAMO: EMP. RN26 - LOS TAMARISCOS.,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-29141476-   -APN-DCHU#DNV,46/13-0002-OBR21,OBRA DE CONSERVACIÓN MEJORATIVA RNNo 40 - PROVINCIA DE CHUBUT - TRAMO: EMP. RN26 - LOS TAMARISCOS.,2021-04-16T00:00:00,30-69395356-8,SERVING S.R.L.,NO,73215808.07,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-0005-CON23,,46/13-0108-LPU22,"OBRA DE CONSERVACIÓN MEJORATIVA RN N° 40 - PROVINCIA DEL CHUBUT. KM. 1324,69 - KM. 1367,81",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2023-04459093-   -APN-DCHU#DNV,46/13-0013-OBR23,"OBRA DE CONSERVACIÓN MEJORATIVA RN No 40 - PROVINCIA DEL CHUBUT. KM. 1324,69 - KM. 1367,81",2023-02-16T00:00:00,30-62924805-2,RIGEL SRL,NO,27701890.99,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-1392-CON21,,46/13-0109-LPU20,PUESTA EN VALOR DE LAS INSTALACIONES CAMPAMENTO TECKA - 13º Distrito  Chubut,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-82305577-   -APN-DCHU#DNV,46/13-0015-OBR21,PUESTA EN VALOR DE LAS INSTALACIONES CAMPAMENTO TECKA - 13õ Distrito ? Chubut,2021-09-06T00:00:00,30-67034174-3,Pasquini Construcciones S.R.L.,NO,80110008.53,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-1572-CON21,,46/13-0135-LPU21,"OBRA DE CONSERVACIÓN MEJORATIVA RNN°25, TRAMO: GAIMAN - DOLAVON.",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-121437038-   -APN-DCHU#DNV,46/13-0035-OBR21,"OBRA DE CONSERVACIÓN MEJORATIVA RNNo25, TRAMO: GAIMAN - DOLAVON.",2021-12-16T00:00:00,33-65179561-9,Villegas Construcciones SRL,NO,103764296.21,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-0147-CON23,,46/13-0206-LPU22,"OBRA DE CONSERVACION MEJORATIVA RUTA NACIONAL N° 25 SECCIÓN: KM. 165,22 - KM. 191,53.",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2023-12839220-   -APN-DCHU#DNV,46/13-0005-OBR23,"OBRA DE CONSERVACION MEJORATIVA RUTA NACIONAL No 25 SECCIÓN: KM. 165,22 - KM. 191,53.",2023-02-08T00:00:00,30-62669582-1,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,NO,215470310.86,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-0149-CON23,,46/13-0226-LPU22,"OBRA DE CONSERVACIÓN MEJORATIVA RNN° 25. LAS CHAPAS - LAS PLUMAS. KM 199,32 - 207,14.",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2023-12847154-   -APN-DCHU#DNV,46/13-0012-OBR23,"OBRA DE CONSERVACIÓN MEJORATIVA RNNo 25. LAS CHAPAS - LAS PLUMAS. KM 199,32 - 207,14.",2023-02-15T00:00:00,30-51999331-3,CN SAPAG SOCIEDAD ANONIMA,NO,257234384.68,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-0204-CON22,,46/13-0285-LPU21,OBRA DE CONSERVACIÓN MEJORATIVA RUTA NACIONAL N° 25 PROVINCIA DE CHUBUT.,46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2022-45971060-   -APN-DCHU#DNV,46/13-0016-OBR22,OBRA DE CONSERVACIÓN MEJORATIVA RUTA NACIONAL No 25 PROVINCIA DE CHUBUT.,2022-05-17T00:00:00,30-62924805-2,RIGEL SRL,NO,12218263.02,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/13-0202-CON22,,46/13-0290-LPU21,": OBRA DE CONSERVACIÓN MEJORATIVA RN N° 25 - PROVINCIA DEL CHUBUT,KM. 191,53 - KM - KM. - KM. 199,32",46/13,46/13 - 13° Chubut - DNV,604,604 - Dirección Nacional de Vialidad,EX-2022-44104686-   -APN-DCHU#DNV,46/13-0015-OBR22,": OBRA DE CONSERVACIÓN MEJORATIVA RN No 25 - PROVINCIA DEL CHUBUT,KM. 191,53 - KM - KM. - KM. 199,32",2022-05-06T00:00:00,30-51999331-3,CN SAPAG SOCIEDAD ANONIMA,NO,13491173.46,ARS,JULIO ALBERTO OTERO,Jefe de Departamento
46/14-0649-CON22,,46/14-0079-LPU21,ACCESO CANALIZADO  LOCALIDAD DE SAN JERÓNIMO - OBRA DE SEGURIDAD VIAL,46/14,46/14 - 14° San Luis - DNV,604,604 - Dirección Nacional de Vialidad,EX-2022-136154058-   -APN-DSL#DNV,46/14-0055-OBR22,ACCESO CANALIZADO ? LOCALIDAD DE SAN JERNIMO - OBRA DE SEGURIDAD VIAL,2022-12-29T00:00:00,30-67339231-4,PREMOLDEADOS SAN LUIS S.A.,SI,103828109.34,ARS,CARLOS DANIEL ANDRES BASSI,Director
46/14-1137-CON21,,46/14-0085-LPU19,REFUERZO DE PILAS EN PUENTE LOS CORRALES,46/14,46/14 - 14° San Luis - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-40531070-   -APN-DSL#DNV,46/14-0006-OBR21,REFUERZO DE PILAS EN PUENTE LOS CORRALES,2021-06-29T00:00:00,30-67339231-4,PREMOLDEADOS SAN LUIS S.A.,SI,25851084.68,ARS,CARLOS DANIEL ANDRES BASSI,Director
46/14-1146-CON21,,46/14-0088-LPU19,ACCESO CANALIZADO - LOCALIDAD DE NOGOLI,46/14,46/14 - 14° San Luis - DNV,604,604 - Dirección Nacional de Vialidad,EX-2021-40533638-   -APN-DSL#DNV,46/14-0005-OBR21,ACCESO CANALIZADO - LOCALIDAD DE NOGOLI,2021-06-10T00:00:00,30-67339231-4,PREMOLDEADOS SAN LUIS S.A.,SI,34636547.69,ARS,CARLOS DANIEL ANDRES BASSI,Director
